"IMO Number...1","Name...2","Ship type","Total fuel consumption [m tonnes]","Total CO₂ emissions [m tonnes]","Total CH₄ emissions [m tonnes]","Total N₂O emissions [m tonnes]","Total CO₂eq emissions [m tonnes]","Time spent at sea [hours]","Fuel consumption per distance [kg / n mile]","CO₂ emissions per distance [kg CO₂ / n mile]","Fuel consumption per transport work (mass) [g / m tonnes · n miles]","CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles]","CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes]","CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes]","CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes]"
"9634842","STAR CALYPSO","Bulk carrier",1756.97,5478.96,0.09,0.32,5565.23,1607.5,105.1,327.75,1.76,5.49,0,1211.83,4223.31
"9634880","LU YANG SHUN","Bulk carrier",1616.04,5072.54,0.08,0.29,5151.89,2031.2,71.97,225.9,3.77,11.85,326.14,518.08,4036.1
"9634892","S NEPTUNE","Bulk carrier",318.32,999.09,0.02,0.06,1014.72,490.58,56.45,177.18,3.13,9.84,51.3,202.47,658.12
"9634969","IOANNA D","Bulk carrier",957.38,3004.14,0.05,0.17,3051.15,1148.08,81.32,255.17,3.28,10.29,85.14,1324.73,1389.48
"9635391","ARUNA HULYA","Bulk carrier",685.45,2134.81,0.03,0.12,2168.46,904.98,65.67,204.52,1.63,5.08,0,0,2134.81
"9635406","ARUNA ECE","Bulk carrier",1476.96,4653.2,0.07,0.27,4725.72,1618.73,74.72,235.41,2.33,7.35,587.47,1650.77,2281.63
"9635468","CS SARAFINA","Bulk carrier",1176.65,3701.03,0.06,0.21,3758.81,1821.9,62.49,196.55,2.25,7.09,0,1165.71,2456.74
"9635640","CMA CGM RIMBAUD","Container ship",923.2,2874.84,0.05,0.17,2920.18,549.6,131.38,409.11,2.56,7.97,0,815.87,2043.1
"9635652","CMA CGM VOLTAIRE","Container ship",14054,43822.29,0.7,2.53,44512.34,4309.86,213.91,667.02,4.55,14.18,20766.93,1668.5,19704.02
"9635664","COLOMBIA EXPRESS","Container ship",10258.14,32101.07,0.51,1.85,32604.74,3825.9,174.83,547.1,3.63,11.37,1538.3,18466.21,11422.92
"9635676","NICARAGUA EXPRESS","Container ship",8647.25,26981.31,0.43,1.56,27405.89,2694.2,215.41,672.12,4.87,15.2,10979.63,2656.87,12419.49
"9635690","HORUS","Bulk carrier",1356.63,4323.73,0.07,0.24,4390.34,1207.6,113.93,363.1,4.84,15.42,0,2413.79,1672.29
"9635767","ELANDRA STAR","Chemical tanker",459.6,1433.21,0.02,0.08,1455.78,605.3,76.32,237.99,3.22,10.05,0,515.38,818.51
"9635779","ELANDRA SEA","Chemical tanker",1524.19,4799.03,0.08,0.27,4873.86,1437.4,95.59,300.99,3.89,12.24,443.63,1648.92,2462.1
"9635808","HAFNIA LYNX","Oil tanker",832.53,2600.77,0.04,0.15,2641.65,981.9,72.24,225.68,2.44,7.61,336.67,988.64,1092.68
"9635858","BW JAGUAR","Oil tanker",1371.6,4306.65,0.07,0.25,4373.99,1129.8,101.61,319.04,2.55,7.99,576.44,0,3294.19
"9636371","AMIS DOLPHIN","Bulk carrier",561.49,1758.72,0.03,0.1,1786.29,454.9,98.56,308.72,2.67,8.38,373.29,1201.88,0
"9636383","KEN BREEZE","Bulk carrier",2027.68,6358.49,0.1,0.36,6458.05,2301.81,78.87,247.33,3.07,9.64,2231.13,2221.74,1441.59
"9636395","COREWISE OL","Bulk carrier",1973.59,6243.53,0.1,0.36,6340.43,2464.1,73.67,233.04,3.12,9.86,789.08,2159.54,3116.52
"9636632","MAERSK ADRIATIC","Oil tanker",2962.32,9338.11,0.15,0.53,9483.55,2964.7,88.17,277.95,6.15,19.39,3932.89,2296.58,1895.35
"9636644","MAERSK AEGEAN","Oil tanker",3110.32,9756.11,0.16,0.56,9908.83,2950.78,90.75,284.65,5.43,17.03,3667.36,2115.86,2070.6
"9636943","STAMFORD PIONEER","Bulk carrier",319.62,1007.85,0.02,0.06,1023.54,477,78.42,247.26,2.75,8.68,0,0,994.7
"9637076","ARDMORE SEAVANTAGE","Chemical tanker",2605.16,8149.09,0.13,0.47,8277.01,2405.65,86.73,271.29,2.41,7.55,686.33,1974.68,4798.86
